Num,LeetCode Problem,Topic,Video Explanation,Difficulty,Solved?,Last Solved Date,Number of times,Notes
145,Number of 1 Bits,Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Easy,No,,,
146,Counting Bits,Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Easy,No,,,
147,Reverse Bits,Bit Manipulation,https://www.youtube.com/watch?v=-7bpRBMPXh8,Easy,No,,,
148,Missing Number,Bit Manipulation,https://www.youtube.com/watch?v=-pLW7935dlc,Easy,No,,,
149,Sum of Two Integers,Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Medium,No,,,
150,Reverse Integer,Bit Manipulation,,Medium,No,,,
151,Reaching points,Math & Geometry,,Hard,No,,,
50,Same Tree,Trees,https://www.youtube.com/watch?v=yi7ym5R5aYI,Easy,Yes,2024-06-20,1,
132,Non Overlapping Intervals,Intervals,https://www.youtube.com/watch?v=y8nBFmPsAF8,Medium,Yes,2024-06-15,1,
19,Minimum Window Substring,Sliding Window,https://www.youtube.com/watch?v=tMx5JZSBWIE,Hard,Yes,2024-06-14,1,
56,Validate Binary Search Tree,Trees,https://www.youtube.com/watch?v=QaCMLopSwWI,Medium,Yes,2024-06-14,1,
58,Construct Binary Tree From Preorder And Inorder Traversal,Trees,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,Medium,Yes,2024-06-14,1,
16,Longest Substring Without Repeating Characters,Sliding Window,https://www.youtube.com/watch?v=RMQ-gRQAY0o,Medium,Yes,2024-06-07,1,
17,Longest Repeating Character Replacement,Sliding Window,https://www.youtube.com/watch?v=FYyWsqFjkZk,Medium,Yes,2024-06-07,1,
38,Remove Nth Node From End of List,Linked List,https://www.youtube.com/watch?v=hZtAW3cp8vQ,Medium,Yes,2024-06-07,1,
39,Intersection Of Two Arrays II,Arrays & Hashing,,Easy,Yes,2024-06-05,1,
32,Search In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=sE_4DzVc71w,Medium,Yes,2024-06-01,2,
131,Merge Intervals,Intervals,https://www.youtube.com/watch?v=n3F2v9f8OfY,Medium,Yes,2024-06-01,1,
132,Fibonacci Number,1-D Dynamic Programming,,Easy,Yes,2024-06-01,1,
133,N-th Tribonacci Number,Math & Geometry,,Easy,Yes,2024-06-01,1,
11,Two Sum II Input Array Is Sorted,Two Pointers,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Medium,Yes,2024-05-29,1,
6,Product of Array Except Self,Arrays & Hashing,https://www.youtube.com/watch?v=UxmLwxH-lhM,Medium,Yes,2024-05-25,1,
1,Contains Duplicate,Arrays & Hashing,https://www.youtube.com/watch?v=XECOM0RnIig,Easy,Yes,2024-04-25,3,
2,Sort an Array,Arrays & Hashing,,Easy,Yes,2024-03-10,1,
3,Richest Customer Wealth,Arrays & Hashing,,Easy,Yes,2024-02-03,1,
4,Root Equals Sum Of Children,Trees,,Easy,Yes,2024-02-03,1,
5,Find a Peak Element II,Binary Search,,Easy,Yes,2024-01-28,1,
6,Search Insert Position,Binary Search,,Easy,Yes,2024-01-27,1,
7,Search In Rotated Sorted Array II,Binary Search,,Medium,Yes,2024-01-27,1,
8,Find Peak Element,Binary Search,,Medium,Yes,2024-01-27,1,
9,Find First and Last Position of Element In Sorted Array,Arrays & Hashing,,Medium,Yes,2024-01-24,1,
10,Sqrtx,Binary Search,,Easy,Yes,2024-01-24,1,
11,Roman to integer,Math & Geometry,,Easy,Yes,2023-11-06,1,
12,Remove Duplicates from sorted array,Arrays & Hashing,,Medium,Yes,2023-11-06,1,
